English,Chinese
sea,海
seven,七
centre,中心
followed,跟着
designed,设计
performed,执行
official,官方的
david,大卫
less,较少的
gave,给了
months,几个月
finished,完成的
daughter,女儿
process,过程
refer,参考
study,学习
europe,欧洲
institute,研究所
stage,阶段
term,学期
range,范围
chief,首席
fire,火
does,做
rights,权
completed,完全的
arts,艺术
half,一半
remained,仍然是
largest,最大
mother,母亲
character,特点
includes,包括
civil,民用
private,私人的
light,光
leading,领导
reported,报道
network,网络
help,帮助
usually,通常
seen,看
groups,团体
studies,学习
featured,特色
federal,联邦
full,满的
episode,插曲
thus,因此
academy,学院
night,夜晚
competition,竞赛
women's,女性的
space,空间
get,得到
instead,反而
china,中国
must,必须
robert,罗伯特
japanese,日本人
go,走
washington,华盛顿
front,正面
uk,英国
directed,指导
tournament,比赛
my,我的
thomas,托马斯
news,消息
books,图书
brother,兄弟
involved,涉及
campaign,活动
independent,独立的
either,任何一个
model,模型
countries,国家
awarded,颁发
able,有能力的
japan,日本
sports,运动的
charles,查尔斯
gold,金子
section,部分
capital,首都
kingdom,王国
close,关闭
middle,中间
added,添加
fourth,第四
sent,发送
movement,移动
eight,八
studio,工作室
previous,以前的
provided,假如
conference,会议
above,以上
soon,很快
today,今天
grand,盛大
magazine,杂志
canadian,加拿大人
replaced,更换
aircraft,飞机
change,改变
films,电影
ten,十
medical,医疗的
organization,组织
bank,银行
historic,历史性
coast,海岸
killed,死亡
management,管理
degree,程度
rather,相当
industry,行业
russian,俄语
professor,教授
chinese,中国人
action,行动
car,车
senior,高级的
systems,系统
green,绿色
bridge,桥
technology,技术
almost,几乎
shows,表明
big,大
lower,降低
week,星期
success,成功
writing,写作
base,根据
data,数据
families,家庭
post,邮政
least,至少
market,市场
primary,基本的
female,女性
reached,到达
beginning,开始
valley,谷
ground,地面
type,类型
stated,陈述
tv,电视
operations,运营
attack,攻击
hospital,医院
saw,锯
approximately,大约
paul,保罗
culture,文化
republic,共和国
size,尺寸
previously,之前
decided,决定
introduced,介绍
hill,爬坡道
buildings,建筑物
championships,锦标赛
provide,提供
native,本国的
successful,成功的
outside,外部
parts,部分
via,通过
theatre,剧院
placed,放置
behind,在后面
bay,湾
sometimes,有时
los,洛杉矶
prior,事先的
natural,自然
active,积极的
future,未来
scored,得分
italian,意大利人
africa,非洲
spanish,西班牙语
attended,参加
put,放
listed,上市
brought,带来
regional,区域
structure,结构体
units,单位
michael,迈克尔
possible,可能的
henry,亨利
municipality,市
higher,更高
start,开始
collection,收藏
regular,常规的
star,星星
results,结果
square,正方形
interest,兴趣
leader,领导者
economic,经济的
especially,尤其
contract,合同
too,也
trade,贸易
texas,德克萨斯州
goal,目标
below,以下
winning,赢得
officer,官
foreign,外国的
generally,一般来说
operation,手术
runs,跑
medal,勋章
changed,改变了
taking,服用
novel,小说
staff,职员
significant,重大
real,真实的
standard,标准
far,远的
limited,有限的
traditional,传统的
african,非洲人
come,来
initially,最初
itself,本身
location,地点
commission,委员会
roman,罗马
me,我
artist,艺术家
christian,基督教
plays,扮演
money,钱
parliament,议会
food,食物
hit,打
governor,州长
low,低的
defeated,击败
energy,活力
student,学生
strong,强的
towards,向
notable,值得注意的
child,孩子
assembly,集会
owned,拥有
catholic,天主教
course,课程
commercial,商业的
ship,船
foundation,基础
channel,渠道
allowed,允许
represented,代表
property,财产
places,地点
navy,海军
unit,单元
ended,结束了
annual,年度的
command,命令
paris,巴黎
km,km.
library,图书馆
companies,公司
whom,谁
met,遇见
ever,曾经
activities,活动
spent,花费
plan,计划
numerous,很多的
blue,蓝色
earlier,早些时候
means,方法
highway,高速公路
dr,博士
required,必需的
musical,音乐
additional,额外的
practice,实践
bill,账单
noted,著名的
mountain,山
airport,飞机场
ireland,爱尔兰
plant,植物
security,安全
income,收入
issues,问题
associated,联系
manager,经理
artists,艺术家
related,有关的
access,使用权
brown,棕色的
running,跑步
peter,彼得
individual,个人
richard,理查德
older,年长
victory,胜利
opening,开幕式
programs,程式
past,过去的
report,报告
sound,声音
press,按
woman,女士
finally,最后
find,找
background,背景
policy,政策
our,我们的
youth,青年
financial,金融
date,日期
executive,行政人员
launched,推出
soviet,苏维埃
administration,行政
historical,历史
closed,关闭
here,这里
mark,标记
captain,队长
basketball,篮球
lived,生活
ran,跑
better,更好的
edition,版
famous,著名的
contains,包含
chicago,芝加哥
subsequently,随后
move,移动
selected,选择
already,已经
legal,合法的
rural,乡村的
religious,宗教
studied,学习
entered,进入
cultural,文化
lines,线
person,人
test,测试
appearance,外貌
complete,完全的
increased,增加
rest,休息
men's,男士的
zealand,西兰
secretary,秘书
complex,复杂的
seat,座位
changes,变化
matches,火柴
majority,多数
room,房间
loss,损失
terms,术语
review,审查
empire,帝国
mission,使命
virginia,弗吉尼亚州
angeles,安吉利斯
olympics,奥运会
italy,意大利
highest,最高
stadium,体育场
becoming,变得
goals,目标
starting,开始
wide,宽的
characters,人物
writer,作家
particularly,特别
fact,事实
mostly,大多
mexico,墨西哥
thought,想法
hours,小时
stone,石头
retired,退休
recording,记录
going,去
give,给
feature,特征
cross,叉
smith,史密斯
author,作者
operated,经营
sir,先生
recent,最近的
status,地位
chart,图表
theory,理论
greek,希腊语
islands,岛屿
caused,造成的
entire,全部的
got,得到了
remains,遗迹
nine,九
engine,引擎
source,来源
genus,Genus.
forced,强迫
issue,问题
singles,单打
evidence,证据
meeting,会议
congress,国会
port,港口
variety,种类
pennsylvania,宾夕法尼亚州
forest,森林
lord,主
uses,用途
particular,特定
key,钥匙
supported,支持的
word,单词
create,创建
relationship,关系
overall,总体
hand,手
democratic,民主党人
certain,肯定
castle,城堡
biography,传
nature,自然
mary,玛丽
names,名称
fort,堡
parish,教区
decision,决定
serving,服务
score,分数
cover,覆盖
wales,威尔士
singer,歌手
need,需要
material,材料
shown,显示
florida,佛罗里达
upper,上
referred,提到
larger,较大
marriage,婚姻
length,长度
leaving,离开
weeks,周
movie,电影
raised,提高
rate,速度
justice,正义
fall,落下
always,总是
minutes,分钟
junior,初级
competed,竞争
stations,站
turn,转动
irish,爱尔兰人
temple,寺庙
cases,案件
era,时代
individuals,个人
township,乡
claimed,声称
friends,朋友们
van,班车
earned,赢得
failed,失败的
sister,姐姐
deal,交易
increase,增加
helped,帮
takes,需要
houses,房屋
themselves,他们自己
forms,形式
seasons,季节
ancient,古老的
troops,军队
believed,相信
elections,选举
presented,提出了
offered,提供
train,火车
composed,组成
shot,射击
care,关心
cities,城市
longer,较长
pacific,太平洋
tracks,轨道
products,产品
fight,斗争
engineering,工程
mainly,主要是
chairman,主席
provides,提供
fellow,同胞
bishop,主教
plot,阴谋
experience,经验
stars,星星
prince,王子
actor,演员
dance,舞蹈
effect,影响
nearly,几乎
therefore,所以
consists,包括
broadcast,播送
cast,投掷
separate,分离
winter,冬天
prime,主要的
saint,圣
camp,营
male,男性
administrative,行政的
surface,表面
carried,携带的
influence,影响
husband,丈夫
subject,主题
creek,溪
baseball,棒球
assistant,助手
response,回复
problems,问题
remaining,其余的
heart,心
fifth,第五
oil,油
producer,生产者
month,月
friend,朋友
done,完毕
joseph,约瑟夫
proposed,建议的
spain,西班牙
branch,分支
silver,银
greater,较大
turned,转身
nearby,附近
champion,冠军
cost,成本
plans,计划
meaning,意义
jewish,犹太人
it's,它是
appears,出现
nations,国家
heavy,重的
critical,危急
god,上帝
mr,先生
males,男性
minor,次要的
acquired,获得
russia,俄罗斯
view,看法
parents,父母
distribution,分配
multiple,多
poland,波兰
miles,里程
graduated,毕业
attempt,试图
spring,春天
border,边界
promoted,晋升
louis,路易斯
enough,足够的
females,女性
territory,领土
appearances,外表
digital,数字的
hockey,曲棍球
politician,政治家
article,文章
responsible,负责任的
hotel,酒店
constructed,建
queen,女王
transport,运输
conditions,状况
vote,投票
lives,生命
albums,专辑
ships,船
might,可能
prize,奖
academic,学术的
specific,具体的
whether,无论
residents,居民
households,家庭
projects,项目
ice,冰
regiment,一团
corps,兵团
authority,权威
yet,然而
housing,住房
managed,管理
cause,原因
face,脸
stories,故事
daily,日常的
lies,谎言
br,布尔
direct,直接的
asked,问
serve,服务
primarily,主要是
campus,校园
leave,离开
call,称呼
arrived,到达的
edward,爱德华
rule,规则
brothers,兄弟
ministry,部
elements,元素
tower,塔
makes,做
discovered,发现
computer,计算机
master,掌握
iii,III
facilities,设施
inside,里面
extended,延长
carolina,卡罗莱纳州
told,告诉
rugby,r
reception,接待
whole,所有的
median,中位数
dutch,荷兰人
covered,覆盖
allow,允许
journal,杂志
physical,身体的
martin,马丁
mayor,市长
levels,水平
wanted,通缉
directly,直接地
description,描述
function,功能
newspaper,报纸
pass,经过
estate,财产
issued,发布
officers,长官
value,价值
latin,拉丁
latter,后者
literature,文学
contemporary,当代的
recently,最近
secondary,中学
growth,生长
speed,速度
global,全球的
flight,航班
drama,戏剧
defense,防御
words,字
britain,英国
commander,指挥官
idea,主意
races,比赛
shortly,不久
marine,mar
formerly,以前
formation,形成
transferred,转入
immediately,立即地
highly,高度
label,标签
likely,可能
saying,说
senate,参议院
prominent,著名的
republican,共和党人
wall,墙
scene,场景
officially,正式
earth,地球
corporation,公司
references,参考
percent,百分
typically,通常
dead,死的
settlement,沉降
beach,海滩
scotland,苏格兰
effects,效果
online,在线的
peace,和平
reserve,预订
soldiers,士兵
agreement,协议
renamed,重新命名
treatment,治疗
sources,来源
voice,语音
produce,生产
moving,移动
naval,海军
dark,黑暗的
participated,参加
workers,工人
initial,最初的
urban,城市的
smaller,较小
hot,热的
code,代码
host,主持人
appear,出现
quickly,迅速地
emperor,皇帝
commonly,常见
industrial,工业的
grew,gr
your,您的
candidate,候选人
types,类型
quality,质量
asian,亚洲人
paper,纸
racing,赛车
avenue,大街
lack,缺少
divided,分为
continue,继续
basis,基础
lee,李
boston,波士顿
ohio,俄亥俄州
wing,翅膀
footballer,足球运动员
clubs,俱乐部
probably,大概
editor,编辑
poor,贫穷的
comes,来了
alongside,沿着
activity,活动
francisco,弗朗西斯科
jersey,球衣
format,格式
intended,故意的
TRUE,真的
politics,政治
al,AL.
memorial,纪念馆
metal,金属
judge,法官
affairs,事务
languages,语言
rules,规则
software,软件
farm,农场
ordered,订购
cut,切
dedicated,投入的
conducted,实施
revealed,透露
follows,换
efforts,努力
acting,表演
focus,重点
super,极好的
combined,合并
michigan,密歇根州
operating,操作
fleet,舰队
winner,优胜者
planned,计划
capacity,容量
removed,删除了
el,el
scottish,苏格兰人
mass,大量的
opera,歌剧
architecture,建筑学
prison,监狱
positive,积极的
leaders,领导者
register,登记
advanced,先进的
grade,年级
keep,保持
meet,遇见
communities,社区
columbia,哥伦比亚
entertainment,娱乐
equipment,设备
job,工作
purchased,购买
potential,潜在的
girl,女孩
economy,经济
featuring,特色
jr,j
crew,全体人员
reach,抵达
method,方法
giving,给予
direction,方向
jack,杰克
environment,环境
solo,独奏
relations,关系
widely,广泛
jones,琼斯
product,产品
squadron,中队
offers,优惠
asia,亚洲
letter,信
organized,组织
mount,山
store,店铺
assigned,分配
stop,停止
infantry,步兵
needed,需要
headquarters,总部
trial,审判
destroyed,摧毁
attention,注意力
drive,驾驶
protection,保护
coming,未来
exchange,交换
compared,比较的
episodes,剧集
ability,能力
concept,概念
leaves,树叶
build,建造
defeat,打败
charge,收费
analysis,分析
except,除了
forward,向前
largely,大部分
cars,汽车
comedy,喜剧
join,加入
adopted,采用
serves,供应
website,网站
technical,技术的
agency,机构
roles,角色
gas,气体
double,双倍的
gained,获得
distance,距离
approach,方法
clear,清除
morning,早晨
amount,数量
georgia,乔治亚州
guitar,吉他
reviews,评论
champions,冠军
supreme,最高
hold,抓住
floor,地面
estimated,估计的
polish,抛光
golden,金的
blood,血液
accepted,公认
models,楷模
bbc,BBC.
captured,捕获
alexander,亚历山大
organizations,组织
actress,演员
sydney,悉尼
railroad,铁路
firm,公司
actually,实际上
respectively,分别
heritage,遗产
safety,安全
alone,独自的
travel,旅行
agreed,同意
tax,税
declared,宣称
applied,应用
iron,铁
density,密度
problem,问题
figure,数字
cricket,蟋蟀
notes,笔记
sun,太阳
principal,主要的
block,堵塞
johnson,约翰逊
williams,威廉姆斯
israel,以色列
things,事物
wood,木头
impact,影响
situated,位于
hard,难的
fighting,斗争
sales,销售量
fell,fell
pressure,压力
know,知道
positions,姿势
suffered,遭到
mixed,混合
premier,总理
recognized,认识到
frank,坦率
teaching,教学
joint,联合的
fish,鱼
titles,题目
sons,s
illinois,伊利诺伊州
color,颜色
climate,气候
independence,独立
knowledge,知识
traffic,交通
bus,公共汽车
plants,植物
feet,脚
difficult,难的
mountains,山
duke,公爵
tree,树
account,帐户
parties,派对
pay,支付
olympic,奥林匹克
arms,武器
deputy,副
occurred,发生了
girls,女孩们
geography,地理
remain,保持
content,内容
rose,玫瑰
creation,创建
yards,码头
platform,平台
presence,在场
performances,表演
draft,草案
resources,资源
iran,伊朗
growing,生长
resulted,导致
representatives,代表
hosted,托管
mm,毫米
continues,继续
draw,画
teacher,老师
titled,标题为
expanded,扩展
sites,遗址
honor,荣誉
tom,汤姆
mentioned,提及
critics,批评者
spread,传播
table,桌子
scoring,得分
guard,警卫
fc,FC.
twice,两次
concert,音乐会
victoria,维多利亚
ball,球
providing,提供
municipal,市政
taught,教导
am,是
damage,损害
opposition,反对
expected,预期的
household,家庭
rail,轨
districts,地区
zone,区
revolution,革命
text,文本
younger,更年轻
becomes,成为
windows,视窗
electric,电的
nominated,提名
bar,酒吧
surrounding,周围
origin,起源
fine,美好的
garden,花园
lady,女士
votes,投票
basic,基本的
reports,举报
identified,确定
liberal,自由主义的
boy,男孩
massachusetts,马萨诸塞州
facility,设施
share,分享
pop,流行音乐
versions,版本
offer,提供
unique,独特的
birth,诞生
note,笔记
von,von.
reduced,减少
scott,斯科特
kept,保存
claims,索赔
painting,绘画
buried,埋葬
sciences,科学
paid,有薪酬的
says,说
disease,疾病
deep,深的
felt,毛毡
representative,代表
box,盒子
ranked,排名
losing,失败
nation,国家
granted,的确
returning,返回
resulting,由此产生
simply,简单地
split,分裂
learning,学习
beyond,超过
classes,班级
medicine,药物
reading,读
image,图片
theater,剧院
trains,火车
owner,所有者
officials,官员
grant,授予
goes,去
something,某物
tells,讲
berlin,柏林
environmental,环境的
machine,机器
jazz,爵士乐
freedom,自由
regions,地区
showed,显示
le,乐
santa,圣诞节
laws,法律
usa,美国
newly,新
fields,领域
doctor,医生
performing,表演
receive,收到
promotion,晋升
suggested,建议
sport,运动
cell,细胞
hong,洪
constitution,宪法
cemetery,公墓
develop,发展
materials,材料
tried,尝试
mile,英里
sixth,第六
planning,规划
subsequent,随后的
gives,给
villages,村庄
founder,创始人
labour,劳工
obtained,获得
horse,马
theme,主题
designated,指定的
finish,结束
price,价钱
effort,努力
cannot,不能
tradition,传统
publication,出版物
kong,孔
brigade,旅
inspired,启发
seats,座位
swedish,瑞典
purpose,目的
allows,允许
authorities,当局
palace,宫
elizabeth,伊丽莎白
attacks,攻击
succeeded,成功
completely,完全地
alternative,选择
cancer,癌症
imperial,imperial
internet,互联网
fame,名声
letters,字母
murder,谋杀
connected,连接的
rome,罗马
achieved,实现
crime,犯罪
ontario,安大略省
joe,乔
philadelphia,费城
funding,资金
lieutenant,中尉
begins,开始
chosen,选择
fully,完全
toronto,多伦多
pakistan,巴基斯坦
squad,队
literary,文学
interview,面试
atlantic,大西洋
animals,动物
cells,细胞
inc,公司
generation,一代
boys,男孩们
figures,数字
situation,情况
del,del
couple,夫妻
existing,现存的
confirmed,确认的
category,类别
conservative,保守的
challenge,挑战
defined,定义
armed,武装
legislative,立法
brazil,巴西
convention,习俗
relatively,相对地
falls,下降
bronze,青铜
volume,体积
injury,受伤
classical,古典
examples,例子
educational,教育学位
billion,十亿
bring,带来
reason,原因
visit,访问
korea,朝鲜
read,读
marked,标记为
religion,宗教
classic,经典的
supply,供应
allowing,允许
acts,行为
labor,劳工
combat,战斗
break,休息
say,说
faculty,学院
look,看
oldest,最老的
vice,副
transfer,转移
frequently,频繁地
methods,方法
towns,城市
agent,代理人
memory,记忆
properties,特性
entitled,题为
orchestra,乐队
reference,参考
settled,sett
steel,钢
bought,买
fans,粉丝
articles,文章
netherlands,荷兰
etc,等等
founding,成立
gallery,画廊
programme,程序
simple,简单的
unable,无法
sides,sides
holds,拥有
portion,部分
ocean,海洋
gun,枪
northwest,西北
mike,麦克风
unknown,未知
battalion,营
claim,宣称
sexual,sexual
audience,观众
refused,拒绝
trust,相信
starring,主演
necessary,必要的
billboard,广告牌
permanent,永恒的
secret,秘密
search,搜索
aired,播出
surname,姓
creating,创造
presidential,总统
guest,客人
peak,顶峰
korean,韩国人
nuclear,核
normal,普通的
retirement,退休
transportation,运输
southeast,东南
exhibition,展览
worldwide,全世界
bc,公元前
institutions,机构
citizens,公民
ultimately,最终
expansion,扩张
conflict,冲突
rank,秩
personnel,人员
risk,风险
application,应用
effective,有效的
covers,盖子
vehicles,车辆
powers,权力
arrested,被捕
storm,风暴
crown,王冠
attempts,尝试
unlike,不像
interior,内部的
ring,戒指
com,com
supporting,支持
partner,伙伴
stock,股票
trees,树木
broke,br
federation,联邦
cd,光盘
kind,种类
extensive,广泛的
holy,圣
oxford,牛津
flying,飞行
want,想
philosophy,哲学
brand,牌
poetry,诗歌
soccer,足球
choice,选择
metres,米
sense,感觉
intelligence,智力
graduate,毕业
alliance,联盟
chris,克里斯
miss,错过
fought,奋斗
documentary,记录
yellow,黄色
perform,履行
entry,入口
copies,副本
phase,阶段
fund,基金
recognition,认出
sets,套
maximum,最大值
hands,hands
commissioned,委托
communist,共产
agricultural,农业
drug,药品
employed,雇用
occupied,占据
standards,标准
jackson,杰克逊
sign,标志
visited,访问了
attempted,尝试
sector,行业
piece,片
people's,人们
sweden,瑞典
offices,办公室
provincial,省级
defence,防御
prevent,防止
rise,上升
internal,内部的
domestic,国内的
receiving,接收
approved,得到正式认可的
edge,边缘
actions,行动
fox,狐狸
dropped,掉下来
needs,需要
powerful,强大的
lot,很多
attacked,遭到攻击
consisted,组成
adult,成人
lyrics,歌词
opposed,反对
sex,性别
children's,孩子们的
factory,工厂
holding,保持
hills,丘陵
tropical,热带
ways,方法
setting,环境
matter,事情
increasing,越来越多
shared,共享
applications,应用程序
guns,枪支
broadcasting,广播
bowl,碗
treaty,条约
vehicle,车辆
bad,坏的
investigation,调查
steve,史蒂夫
quarter,四分之一
someone,某人
greatest,最伟大的
northeast,东北
sunday,星期日
launch,发射
wilson,威尔逊
beat,打
fiction,小说
locations,地点
incorporated,incorporated.
establishment,建立
specifically,具体来说
studios,一室公寓
stay,停留
walls,墙壁
converted,转换了
weekly,每周
programming,编程
functions,职能
ending,结尾
daniel,丹尼尔
animal,动物
arthur,亚瑟
bob,鲍勃
reasons,原因
architect,建筑师
francis,弗朗西斯
criminal,刑事
jim,吉姆
structures,结构
metropolitan,大都会
identity,身份
meant,意思
constituency,选项
bureau,局
condition,健康）状况
churches,教堂
communications,通讯
developing,发展
represent,代表
determined,决定
contributed,贡献
representing,代表
bands,乐队
onto,到
pope,教皇
existence,存在
roads,道路
pieces,件
let,让
speech,演讲
funds,资金
contact,接触
km²,KM².
slightly,轻微地
cape,岬
centuries,几个世纪
begin,开始
question,题
mobile,移动的
wild,荒野
refers,引用
derived,衍生的
aid,援助
express,表达
mill,磨
bass,低音
contest,比赛
ends,结束
qualified,合格的
enemy,敌人
taylor,泰勒
containing,包含
connection,联系
wrestling,摔角
canal,运河
andrew,安德鲁
publishing,出版
focused,专注
wins,赢
athletic,运动
occurs,发生
pilot,飞行员
rare,稀有的
weight,重量
maria,玛丽亚
corner,角落
regarding,关于
glass,玻璃
pair,一对
circuit,电路
doing,正在做
influenced,影响
co,CO.
composition,作品
publications,出版物
invited,邀请
boat,船
write,写
weapons,武器
core,核
writers,作家
faced,面对
electronic,电子的
think,思考
believe,相信
successfully,成功地
engineer,工程师
davis,戴维斯
abandoned,弃
kansas,堪萨斯州
stand,站立
entrance,入口
minnesota,明尼苏达州
why,为什么
educated,教育
wind,风
escape,逃脱
display,展示
mexican,墨西哥人
candidates,候选人
passing,通过
twelve,十二
southwest,西南
count,数数
heat,热
height,高度
birds,鸟类
norwegian,挪威
finishing,精加工
passenger,乘客
target,目标
finds,发现
serious,严肃的
scheduled,预定
proved,证实
americans,美国人
rear,后部
aged,岁
page,页
survey,民意调查
chapel,教堂
cathedral,大教堂
nothing,没有
views,意见
lands,土地
kill,杀
band's,乐队
scale,规模
standing,常设
reform,改革
toward,朝着
sought,寻求
importance,重要性
artillery,炮兵
dynasty,王朝
sr,SR.
selection,选择
quite,相当
composer,作曲家
tennis,网球
carry,携带
agriculture,农业
violence,暴力
temperature,温度
moscow,莫斯科
failure,失败
nfl,NFL.
orders,订单
herself,自己
external,外部的
finals,决赛
melbourne,墨尔本
cambridge,剑桥
contained,含有
occur,发生
piano,钢琴
communication,沟通
ceremony,仪式
heavily,heav
manchester,曼彻斯特
jews,犹太人
missouri,密苏里州
christmas,圣诞节
heard,听到
decades,几十年
straight,直的
card,卡片
institution,机构
journalist,记者
homes,家庭
loan,贷款
muslim,穆斯林
hundred,百
expressed,表达
ideas,思想
introduction,介绍
trying,试
incident,事件
et,ET.
bell,钟
really,真的
inhabitants,居民
reaching,到达
maintained,保持
signal,信号
producing,生产
invasion,侵犯
resistance,反抗
sale,销售
advance,进步
ncaa,NCAA
fuel,燃料
poet,诗人
rich,富有的
opportunity,机会
conservation,保护
shape,形状
indiana,印第安纳州
chemical,化学
patients,耐心
fashion,时尚
investment,投资
sri,斯里
courses,培训班
registered,挂号的
protect,保护
norway,挪威
mind,头脑
roof,屋顶
cold,寒冷的
exist,存在
philippines,菲律宾
hits,击球
motor,马达
motion,运动
consecutive,连续的
follow,跟随
vietnam,越南
colonial,殖民
budget,预算
calls,呼叫
merged,合并
colonel,上校
passes,通过
stephen,斯蒂芬
comic,漫画
laid,奠定
promote,推动
perhaps,也许
historian,历史学家
extension,延期
lewis,刘易斯
broken,破碎的
partnership,合伙
tony,托尼
engaged,已订婚的
tennessee,田纳西州
chamber,chamber
avoid,避免
closely,密切
distinguished,尊敬
typical,典型的
skills,技能
mine,矿
users,用户
screen,屏幕
harry,哈利
dates,日期
causes,原因
residence,住宅
voted,投票
des,DES.
earl,伯爵
hired,雇用
portuguese,葡萄牙语
colorado,科罗拉多州
collected,集
scenes,场景
consisting,组成
